season,week,celebrity_name,predicted_fan_votes,predicted_fan_percentage
9.0,5.0,Kelly Osbourne,99096.01145167064,9.898819248421358
9.0,5.0,Louie Vito,91823.23419022329,9.104928591115906
9.0,5.0,Mark Dacascos,106790.69203772103,10.742212026613494
9.0,5.0,Melissa Joan Hart,95444.14055348287,9.499759671961247
9.0,5.0,Michael Irvin,87972.99733273384,8.686058464250443
9.0,5.0,Mya,110543.50059924854,11.154724899053646
9.0,5.0,Natalie Coughlin,91675.83556872867,9.088866755424014
9.0,6.0,Aaron Carter,125723.4839704468,12.701065908149445
9.0,6.0,Donny Osmond,118706.1065972507,11.93280054001705
9.0,6.0,Joanna Krupa,136123.90042056353,13.843338858201712
9.0,6.0,Kelly Osbourne,97318.50523345443,9.605824211385674
9.0,6.0,Louie Vito,93900.59113544265,9.236387511819736
9.0,6.0,Mark Dacascos,122024.88122491601,12.295870879934412
9.0,6.0,Melissa Joan Hart,93903.90447995468,9.23670662616456
9.0,6.0,Michael Irvin,86649.77400428528,8.455121652810067
9.0,6.0,Mya,125648.85293368586,12.692883811517346
9.0,7.0,Aaron Carter,150362.66293418698,15.095951088446876
9.0,7.0,Donny Osmond,147623.87976030208,14.799486402154809
9.0,7.0,Joanna Krupa,155686.7181986628,15.672935683213264
9.0,7.0,Kelly Osbourne,147770.44909175974,14.815338976860765
9.0,7.0,Mark Dacascos,124006.71528350696,12.253376963574327
9.0,7.0,Michael Irvin,134736.85271939222,13.407696270904601
9.0,7.0,Mya,139812.72201218925,13.955214614845353
9.0,8.0,Aaron Carter,191465.52946017392,19.08736220056802
9.0,8.0,Donny Osmond,191385.5073468983,19.078820726751335
9.0,8.0,Joanna Krupa,198436.86420304488,19.831667233259672
9.0,8.0,Kelly Osbourne,195113.32408219355,19.47670855650227
9.0,8.0,Mya,223598.77490768937,22.5254412829187
6.0,1.0,Adam Carolla,63496.60931751128,6.15920072785053
6.0,1.0,Cristian de la Fuente,86332.18738468146,8.656117399157658
6.0,1.0,Jason Taylor,90006.71133378518,9.062113987312557
6.0,1.0,Kristi Yamaguchi,108501.42156241578,11.118861582736711
6.0,1.0,Mario,97362.95787084801,9.877673288000663
6.0,1.0,Marissa Jaret Winokur,74944.44613569259,7.404763381780047
6.0,1.0,Marlee Matlin,89953.88881840072,9.056265270732764
6.0,1.0,Monica Seles,63674.44620899413,6.1785063296825395
6.0,1.0,Penn Jillette,67346.8074457331,6.576530129436499
6.0,1.0,Priscilla Presley,97382.32243198216,9.87983715532906
6.0,1.0,Shannon Elizabeth,86011.65457440786,8.620766004968132
6.0,1.0,Steve Guttenberg,74986.54691554772,7.4093647430128415
